"studyYear","programDbId","programName","programDescription","studyDbId","studyName","studyDescription","studyDesign","plotWidth","plotLength","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","plantingDate","harvestDate","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","rowNumber","colNumber","entryType","plantNumber","plantedSeedlotStockDbId","plantedSeedlotStockUniquename","plantedSeedlotCurrentCount","plantedSeedlotCurrentWeightGram","plantedSeedlotBoxName","plantedSeedlotTransactionCount","plantedSeedlotTransactionWeight","plantedSeedlotTransactionDescription","availableGermplasmSeedlotUniquenames","Chalk impact|LSU_01:0000108","Chalky seeds|LSU_01:0000107","Days to heading|LSU_01:0000130","Emergence date|LSU_01:0000128","Grain length average|LSU_01:0000102","Grain length-width ratio average|LSU_01:0000105","Grain thickness average|LSU_01:0000104","Grain whiteness average|LSU_01:0000106","Grain width average|LSU_01:0000103","Harvest moisture|LSU_01:0000136","Harvest weight|LSU_01:0000137","Heading date|LSU_01:0000129","Plant height|LSU_01:0000132","Plot stand2|LSU_01:0000134","Plot stand|LSU_01:0000133","Ratoon moisture|LSU_01:0000139","Ratoon weight|LSU_01:0000140","Ratoon yield|LSU_01:0000141","Seedling vigor|LSU_01:0000131","Total milling percentage|LSU_01:0000101","Whole milling percentage|LSU_01:0000100","Yield|LSU_01:0000138","notes"
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49911","182L1011","","plot","123813","18CLPY011","1","1","11","1","11","test","","","","","","","","","","","","","93","83","","","","","","19.82","10.96","176","86","70","30","","","","5","","","6908",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","52494","182L1012","","plot","123155","18CLPY012","1","1","12","1","12","test","","","","","","","","","","","","","90","83","","","","","","20.9","9.03","173","81","60","40","","","","5","","","5616",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","56436","182L1013","","plot","123302","18CLPY013","1","1","13","1","13","test","","","","","","","","","","","","","95","83","","","","","","19.87","8.44","178","84","60","30","","","","5","","","5314",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","50904","182L1014","","plot","124037","18CLPY014","1","1","14","1","14","test","","","","","","","","","","","","","96","83","","","","","","23.13","10.04","179","81","60","50","","","","5","","","6063",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","51341","182L1015","","plot","124012","18CLPY015","1","1","15","1","15","test","","","","","","","","","","","","","95","83","","","","","","19.49","10.51","178","96","60","40","","","","5","","","6650",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","54826","182L1016","","plot","124246","18CLPY016","1","1","16","1","16","test","","","","","","","","","","","","","92","83","","","","","","21.4","9.24","175","86","60","40","","","","5","","","5705",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","43650","182L1017","","plot","123481","18CLPY017","1","1","17","1","17","test","","","","","","","","","","","","","96","82","","","","","","19.05","8.09","178","85","60","40","","","","5","","","5148",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","54895","182L1018","","plot","123090","18CLPY018","1","1","18","1","18","test","","","","","","","","","","","","","95","82","","","","","","22.31","9.95","177","87","60","40","","","","5","","","6077",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","52396","182L1019","","plot","124443","18CLPY019","1","1","19","1","19","test","","","","","","","","","","","","","98","81","","","","","","24.72","11.18","179","84","70","50","","","","5","","","6612",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","57099","182L1020","","plot","123433","18CLPY020","1","1","20","1","20","test","","","","","","","","","","","","","98","82","","","","","","23.53","11.02","180","88","70","50","","","","5","","","6623",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","60949","182L1021","","plot","124429","18CLPY021","1","1","21","1","21","test","","","","","","","","","","","","","97","82","","","","","","21.79","9.72","179","88","60","40","","","","6","","","5974",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","46117","182L1022","","plot","124511","18CLPY022","1","1","22","1","22","test","","","","","","","","","","","","","96","83","","","","","","22.4","10.6","179","86","60","40","","","","6","","","6466",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","55712","182L1023","","plot","123283","18CLPY023","1","1","23","1","23","test","","","","","","","","","","","","","96","83","","","","","","21.38","9.5","179","96","60","30","","","","6","","","5871",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48627","182L1024","","plot","124506","18CLPY024","1","1","24","1","24","test","","","","","","","","","","","","","93","83","","","","","","20.88","11.57","176","82","60","50","","","","5","","","7194",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","54038","182L1025","","plot","124213","18CLPY025","1","1","25","1","25","test","","","","","","","","","","","","","87","86","","","","","","14.03","9.61","173","86","60","40","","","","6","","","6493",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42064","182L1026","","plot","123723","18CLPY026","1","1","26","2","25","test","","","","","","","","","","","","","91","82","","","","","","14.08","12.11","173","77","60","50","","","","5","","","8178",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42919","182L1027","","plot","123255","18CLPY027","1","1","27","2","24","test","","","","","","","","","","","","","91","83","","","","","","17.03","12.09","174","80","70","60","","","","4","","","7881",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","50733","182L1028","","plot","123575","18CLPY028","1","1","28","2","23","test","","","","","","","","","","","","","92","82","","","","","","19.55","11.45","174","87","60","60","","","","4","","","7240",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42981","182L1029","","plot","123318","18CLPY029","1","1","29","2","22","test","","","","","","","","","","","","","88","83","","","","","","12.32","12.06","171","79","70","60","","","","5","","","8309",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42864","182L1030","","plot","123499","18CLPY030","1","1","30","2","21","test","","","","","","","","","","","","","92","82","","","","","","17.22","12.57","174","89","70","60","","","","4","","","8174",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48699","182L1031","","plot","123098","18CLPY031","1","1","31","2","20","test","","","","","","","","","","","","","89","83","","","","","","16.54","10.7","172","85","60","50","","","","5","","","7018",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","60631","182L1032","","plot","124171","18CLPY032","1","1","32","2","19","test","","","","","","","","","","","","","90","83","","","","","","19.31","12.38","173","91","70","50","","","","5","","","7851",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","45415","182L1033","","plot","123566","18CLPY033","1","1","33","2","18","test","","","","","","","","","","","","","92","83","","","","","","16.64","9.9","175","85","70","50","","","","5","","","6486",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","54047","182L1034","","plot","123608","18CLPY034","1","1","34","2","17","test","","","","","","","","","","","","","94","83","","","","","","18.36","10.18","177","82","70","50","","","","6","","","6531",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","45129","182L1035","","plot","123791","18CLPY035","1","1","35","2","16","test","","","","","","","","","","","","","95","83","","","","","","18.85","8.33","178","80","60","50","","","","5","","","5314",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","44891","182L1036","","plot","123625","18CLPY036","1","1","36","2","15","test","","","","","","","","","","","","","97","82","","","","","","20.23","9.03","179","94","60","50","","","","5","","","5658",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","58791","182L1037","","plot","123135","18CLPY037","1","1","37","2","14","test","","","","","","","","","","","","","90","83","","","","","","16.01","9.97","173","95","70","50","","","","5","","","6577",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","47594","182L1038","","plot","124485","18CLPY038","1","1","38","2","13","test","","","","","","","","","","","","","92","83","","","","","","17.9","11.42","175","86","60","50","","","","6","","","7367",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48077","182L1039","","plot","124436","18CLPY039","1","1","39","2","12","test","","","","","","","","","","","","","88","83","","","","","","16.57","10.49","171","81","60","50","","","","5","","","6881",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49426","182L1040","","plot","123868","18CLPY040","1","1","40","2","11","test","","","","","","","","","","","","","90","82","","","","","","18.05","11.36","172","87","70","60","","","","4","","","7315",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","56039","182L1041","","plot","123686","18CLPY041","1","1","41","2","10","test","","","","","","","","","","","","","97","82","","","","","","22.15","10.54","179","84","60","60","","","","4","","","6450",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","46767","182L1042","","plot","123086","18CLPY042","1","1","42","2","9","test","","","","","","","","","","","","","92","82","","","","","","16.46","12.05","174","82","60","60","","","","4","","","7908",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","46160","182L1043","","plot","124484","18CLPY043","1","1","43","2","8","test","","","","","","","","","","","","","97","82","","","","","","21.88","9.27","179","85","60","50","","","","5","","","5692",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","60647","182L1044","","plot","124240","18CLPY044","1","1","44","2","7","test","","","","","","","","","","","","","90","83","","","","","","19.11","8.95","173","93","60","40","","","","5","","","5687",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","47161","182L1045","","plot","124272","18CLPY045","1","1","45","2","6","test","","","","","","","","","","","","","92","83","","","","","","21.09","9.71","175","91","60","30","","","","5","","","6022",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48760","182L1046","","plot","123342","18CLPY046","1","1","46","2","5","test","","","","","","","","","","","","","95","83","","","","","","19.8","7.83","178","86","60","20","","","","6","","","4933",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49936","182L1047","","plot","123468","18CLPY047","1","1","47","2","4","test","","","","","","","","","","","","","95","84","","","","","","21.15","6.66","179","86","50","100","","","","6","","","4129",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","47617","182L1048","","plot","123071","18CLPY048","1","1","48","2","3","test","","","","","","","","","","","","","95","83","","","","","","23.68","9.25","178","86","50","20","","","","6","","","5545",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49837","182L1049","","plot","123812","18CLPY049","1","1","49","2","2","test","","","","","","","","","","","","","96","83","","","","","","25.77","8.39","179","89","60","30","","","","5","","","4892",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","54714","182L1050","","plot","123247","18CLPY050","1","1","50","2","1","test","","","","","","","","","","","","","93","83","","","","","","25.46","10.39","176","93","70","40","","","","5","","","6084",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","56958","182L1051","","plot","123674","18CLPY051","1","1","51","3","1","test","","","","","","","","","","","","","92","82","","","","","","23.47","10.15","174","78","70","70","","","","4","","","6107",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","58176","182L1052","","plot","124303","18CLPY052","1","1","52","3","2","test","","","","","","","","","","","","","90","84","","","","","","24.97","9.42","174","74","70","70","","","","5","","","5552",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","56461","182L1053","","plot","123165","18CLPY053","1","1","53","3","3","test","","","","","","","","","","","","","96","83","","","","","","24.27","11.29","179","93","70","70","","","","5","","","6719",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","41824","182L1054","","plot","124270","18CLPY054","1","1","54","3","4","test","","","","","","","","","","","","","97","82","","","","","","25.68","9.98","179","82","60","50","","","","5","","","5826",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48021","182L1055","","plot","123128","18CLPY055","1","1","55","3","5","test","","","","","","","","","","","","","90","83","","","","","","18.11","10.18","173","93","60","60","","","","5","","","6553",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","52307","182L1056","","plot","124116","18CLPY056","1","1","56","3","6","test","","","","","","","","","","","","","92","83","","","","","","18.44","10.71","175","79","70","60","","","","5","","","6865",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","42302","182L1057","","plot","123545","18CLPY057","1","1","57","3","7","test","","","","","","","","","","","","","91","83","","","","","","17.28","9.77","174","82","70","70","","","","5","","","6353",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","60720","182L1058","","plot","124214","18CLPY058","1","1","58","3","8","test","","","","","","","","","","","","","91","83","","","","","","18.33","11.8","174","82","60","70","","","","5","","","7573",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49942","182L1059","","plot","124049","18CLPY059","1","1","59","3","9","test","","","","","","","","","","","","","95","82","","","","","","21.38","10.88","177","89","70","60","","","","4","","","6725",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","44253","182L1060","","plot","123239","18CLPY060","1","1","60","3","10","test","","","","","","","","","","","","","91","82","","","","","","19.84","10.5","173","85","70","60","","","","5","","","6612",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48892","182L1061","","plot","123671","18CLPY061","1","1","61","3","11","test","","","","","","","","","","","","","91","82","","","","","","19","11.6","173","88","70","70","","","","4","","","7382",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","58180","182L1062","","plot","123982","18CLPY062","1","1","62","3","12","test","","","","","","","","","","","","","92","83","","","","","","20.98","11.86","175","91","70","60","","","","4","","","7366",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","56454","182L1063","","plot","124517","18CLPY063","1","1","63","3","13","test","","","","","","","","","","","","","94","83","","","","","","21.35","11.89","177","96","60","70","","","","5","","","7351",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","44082","182L1064","","plot","124469","18CLPY064","1","1","64","3","14","test","","","","","","","","","","","","","90","83","","","","","","18.14","13.1","173","90","60","60","","","","5","","","8424",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","43039","182L1065","","plot","123792","18CLPY065","1","1","65","3","15","test","","","","","","","","","","","","","91","83","","","","","","18.34","12.51","174","87","70","60","","","","5","","","8028",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","47876","182L1066","","plot","123404","18CLPY066","1","1","66","3","16","test","","","","","","","","","","","","","94","82","","","","","","19.71","10.88","176","83","60","60","","","","5","","","6865",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","52455","182L1067","","plot","123555","18CLPY067","1","1","67","3","17","test","","","","","","","","","","","","","95","84","","","","","","21.18","11.14","179","83","70","70","","","","5","","","6898",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","50491","182L1068","","plot","123679","18CLPY068","1","1","68","3","18","test","","","","","","","","","","","","","93","82","","","","","","20","12.05","175","80","70","70","","","","4","","","7574",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49688","182L1069","","plot","124301","18CLPY069","1","1","69","3","19","test","","","","","","","","","","","","","92","83","","","","","","20.45","11.75","175","82","70","70","","","","5","","","7345",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","45604","182L1070","","plot","124483","18CLPY070","1","1","70","3","20","test","","","","","","","","","","","","","90","83","","","","","","17.98","10.55","173","80","70","70","","","","5","","","6797",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","41899","182L1071","","plot","124008","18CLPY071","1","1","71","3","21","test","","","","","","","","","","","","","94","82","","","","","","21.46","12.78","176","86","70","80","","","","4","","","7887",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","58567","182L1072","","plot","124449","18CLPY072","1","1","72","3","22","test","","","","","","","","","","","","","90","82","","","","","","15.68","12.25","172","76","70","70","","","","5","","","8116",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","49105","182L1073","","plot","123434","18CLPY073","1","1","73","3","23","test","","","","","","","","","","","","","90","83","","","","","","16.03","13.01","173","81","70","70","","","","5","","","8584",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48717","182L1074","","plot","124220","18CLPY074","1","1","74","3","24","test","","","","","","","","","","","18.84","12.4","95","81","6.59","","","","2.24","17.3","12.22","176","90","70","70","","","","4","72.05","66.13","7940",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","41924","182L1075","","plot","123424","18CLPY075","1","1","75","3","25","test","","","","","","","","","","","","","88","82","","","","","","13.26","10.79","170","67","70","70","","","","5","","","7356",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","59087","182L1076","","plot","124386","18CLPY076","1","1","76","4","25","test","","","","","","","","","","","17.52","11.3","91","83","6.67","","","","2.28","14.41","13.75","174","87","70","70","","","","4","70.91","63.75","9250",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","59084","182L1077","","plot","123118","18CLPY077","1","1","77","4","24","test","","","","","","","","","","","","","90","84","","","","","","15.01","9.91","174","81","60","50","","","","5","","","6621",""
"2018","167","LSU Rice","LSU rice breeding program","331","PY_CL_LONG_RRS_2018","Preliminary yield trial data","RCBD","","","","","","","","32","Rice Research Station","48468","182L1078","","plot","123544","18CLPY078","1","1","78","4","23","test","","","","","","","","","","","","","85","82","","","","","","12.13","9.59","167","72","60","50","","","","5","","","6619",""
